SELICICLIB+C0010674,SELICICLIB,C0010674,['34961705']
SELICICLIB+C0877373,SELICICLIB,C0877373,['20822897']
SELICICLIB+C0017638,SELICICLIB,C0017638,['10574370']
PALBOCICLIB+C0007131,PALBOCICLIB,C0007131,"['35657653', '35307972']"
PALBOCICLIB+C0152244,PALBOCICLIB,C0152244,['35552673']
PALBOCICLIB+C0278488,PALBOCICLIB,C0278488,"['35429901', '35241469', '35172272', '35124320', '34425406', '34217908', '33385521', '31937617', '31668850', '31448513', '31125276', '30807234', '30308388', '29893790', '29778787', '29720233', '27368881', '27029704', '26947331']"
PALBOCICLIB+C1512441,PALBOCICLIB,C1512441,['35337692']
PALBOCICLIB+C0678222,PALBOCICLIB,C0678222,"['34995105', '34902765', '34874182', '34674222', '34617955', '34388698', '34157782', '34152059', '33835229', '33793299', '33761970', '33460574', '33399241', '33085032', '32683565', '32420697', '32164785', '31836434', '31127500', '30635336', '30632023', '30515674', '30392115', '30345905', '30206110', '30032196', '29497091', '29360661', '29345736', '29342248', '29326029', '29158285', '28270497', '27959613', '27349747', '26894413', '26062777', '26030518', '25524798', '25501126']"
PALBOCICLIB+C1704374,PALBOCICLIB,C1704374,['34902765']
PALBOCICLIB+C1960398,PALBOCICLIB,C1960398,"['34902765', '33836974', '32938620']"
PALBOCICLIB+C0877373,PALBOCICLIB,C0877373,"['34902765', '34617955', '34388698', '34157782', '34152059', '33835229', '33761970', '33085032', '32787449', '32420697', '32164785', '31836434', '31127500', '30635336', '30632023', '30515674', '30392115', '30345905', '30032196', '29360661', '29345736', '28419480', '27959613', '27349747', '26894413', '26030518', '25524798', '25501126', '22090362']"
PALBOCICLIB+C0012634,PALBOCICLIB,C0012634,"['34837169', '28430398']"
PALBOCICLIB+C0342895,PALBOCICLIB,C0342895,['34837169']
PALBOCICLIB+C0025202,PALBOCICLIB,C0025202,['33770575']
PALBOCICLIB+C4302896,PALBOCICLIB,C4302896,['33727260']
PALBOCICLIB+C1168401,PALBOCICLIB,C1168401,"['33571736', '31981071']"
PALBOCICLIB+C0280313,PALBOCICLIB,C0280313,['33465681']
PALBOCICLIB+C0220603,PALBOCICLIB,C0220603,['33405376']
PALBOCICLIB+C1458156,PALBOCICLIB,C1458156,['33399241']
PALBOCICLIB+C1565489,PALBOCICLIB,C1565489,['33037918']
PALBOCICLIB+C4553161,PALBOCICLIB,C4553161,['33025213']
PALBOCICLIB+C0005940,PALBOCICLIB,C0005940,['32783178']
PALBOCICLIB+C0024623,PALBOCICLIB,C0024623,['32692450']
PALBOCICLIB+C0242363,PALBOCICLIB,C0242363,['32045050']
PALBOCICLIB+C3887461,PALBOCICLIB,C3887461,['31351869']
PALBOCICLIB+C0855005,PALBOCICLIB,C0855005,['31302234']
PALBOCICLIB+C0853879,PALBOCICLIB,C0853879,['31250880']
PALBOCICLIB+C0007104,PALBOCICLIB,C0007104,"['31217344', '31125276', '28652278']"
PALBOCICLIB+C0027947,PALBOCICLIB,C0027947,"['31127500', '28419480']"
PALBOCICLIB+C0334634,PALBOCICLIB,C0334634,"['31120355', '30692121']"
PALBOCICLIB+C0238198,PALBOCICLIB,C0238198,['30979737']
PALBOCICLIB+C4288754,PALBOCICLIB,C4288754,['30293995']
PALBOCICLIB+C4721209,PALBOCICLIB,C4721209,['30292625']
PALBOCICLIB+C1516669,PALBOCICLIB,C1516669,['30206110']
PALBOCICLIB+C0278878,PALBOCICLIB,C0278878,['30151703']
PALBOCICLIB+C3897752,PALBOCICLIB,C3897752,['30151703']
PALBOCICLIB+C1335499,PALBOCICLIB,C1335499,['29893790']
PALBOCICLIB+C0027651,PALBOCICLIB,C0027651,['29720233']
PALBOCICLIB+C0027627,PALBOCICLIB,C0027627,['29342248']
PALBOCICLIB+C0741682,PALBOCICLIB,C0741682,['28652278']
PALBOCICLIB+C3714552,PALBOCICLIB,C3714552,['28430398']
PALBOCICLIB+C0205824,PALBOCICLIB,C0205824,['27124835']
PALBOCICLIB+C0518214,PALBOCICLIB,C0518214,['27029704']
PALBOCICLIB+C2349261,PALBOCICLIB,C2349261,['25813205']
PALBOCICLIB+C0205851,PALBOCICLIB,C0205851,['25522918']
MILCICLIB+C1335729,MILCICLIB,C1335729,['28424962']
MILCICLIB+C0280100,MILCICLIB,C0280100,['28424962']
ZOTIRACICLIB+C3640999,ZOTIRACICLIB,C3640999,['33785481']
ZOTIRACICLIB+C0023467,ZOTIRACICLIB,C0023467,['22934750']
ZOTIRACICLIB+C3266262,ZOTIRACICLIB,C3266262,['22934750']
DINACICLIB+C0376545,DINACICLIB,C0376545,['34972202']
DINACICLIB+C0235974,DINACICLIB,C0235974,['32738099']
